,artist_id,artists_name,track_id,song_name,album_name,album_type,release_date,popularity,danceability,energy,key,loudness,instrumentalness,liveness,acousticness,tempo,mode,valence,duration_ms,time_signatures
278,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,20hsdn8oITBsuWNLhzr5eh,Byte,Byte,single,2017-04-07,49,0.597,0.931,7,-4.026,0.821,0.0593,0.000636,128.031,0,0.267,285089,4
279,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,1ahVFh0ViDZr8LvkEVlq3B,No Sleep (feat. Bonn),No Sleep (feat. Bonn),single,2019-02-21,59,0.44,0.635,11,-6.385,0.0,0.121,0.129,128.133,1,0.327,207095,4
280,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,23L5CiUhw2jV1OIMwthR3S,In the Name of Love,In the Name of Love,single,2016-07-29,77,0.501,0.519,4,-5.88,0.0,0.454,0.109,133.99,0,0.168,195707,4
281,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,4UQy41kC5LjzwQuiuWOpwA,Starlight (Keep Me Afloat),Starlight (Keep Me Afloat),single,2022-04-15,57,0.558,0.715,9,-5.231,0.0,0.097,0.0667,127.001,1,0.297,202671,4
282,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,5M9jOReAKGZ2AttVefFjTY,Don't Look Down (feat. Usher),Don't Look Down (feat. Usher),single,2015-03-17,60,0.575,0.831,0,-5.972,0.000449,0.111,0.00406,127.991,1,0.377,223140,4
283,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,7deNOgcnSseExDbh0rKbeZ,Access,Access,single,2018-10-17,33,0.726,0.752,7,-7.401,0.145,0.201,0.0529,128.035,0,0.174,195454,4
284,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,6nLctpnQJiPTxkaSgbPKiw,Together,Seven,single,2016-10-28,49,0.509,0.729,1,-4.773,2.73e-05,0.233,0.0732,127.871,1,0.196,221274,4
285,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,6jA8HL9i4QGzsj6fjoxp8Y,There for You,There for You,single,2017-05-26,64,0.611,0.644,6,-7.607,0.0,0.124,0.124,105.969,0,0.13,221904,4
286,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,13yeSbqDD7JSd7EWMOATV1,Dragon - Radio Edit,Break Through The Silence EP,single,2015-07-20,42,0.513,0.917,7,-4.048,0.816,0.0592,0.00543,128.024,0,0.145,196671,4
287,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,0wNsUWIYFLYelRCuXPXUT2,If We’ll Ever Be Remembered,Sentio,album,2022-04-29,42,0.502,0.554,10,-5.788,0.0,0.62,0.0353,125.786,1,0.512,210506,4
288,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,4ga4WvRNhMsIL38pkBbnIN,Pressure (feat. Tove Lo),Pressure (feat. Tove Lo),single,2021-02-05,64,0.859,0.558,7,-8.991,0.324,0.124,0.659,114.978,0,0.357,144391,4
289,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,69mAhvOXSSpKRSYFtdWpE4,Reboot,Sentio,album,2022-04-29,42,0.739,0.516,6,-7.465,0.837,0.376,0.0177,126.005,1,0.486,163929,4
290,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,7IWTIkiWGWNQyYfOLdMrGD,Burn Out (feat. Dewain Whitmore),Burn Out (feat. Dewain Whitmore),single,2018-09-14,53,0.594,0.722,4,-5.751,0.0,0.0667,0.0156,127.877,0,0.407,200322,4
291,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,5w0264qq5wQpYfNiPpsuqE,Aurora,Aurora,single,2022-04-26,46,0.514,0.905,4,-6.727,0.237,0.101,0.0011,128.01,0,0.315,210469,4
292,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,5oAgI7Pzg6vxuKrfapg3Pi,Pizza,Pizza,single,2017-08-25,49,0.381,0.712,5,-6.9,0.589,0.183,0.000408,127.967,1,0.0378,255103,4
293,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,1Q7OXxsTM8aUaZ3BbPfIDb,Reboot,Reboot,single,2022-04-05,43,0.739,0.516,6,-7.465,0.837,0.376,0.0177,126.005,1,0.486,163929,4
294,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,2ncGl8sIrEz5M3Kj0MMxqe,Aurora,Sentio,album,2022-04-29,40,0.514,0.905,4,-6.727,0.237,0.101,0.0011,128.01,0,0.315,210469,4
295,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,18KjYhghq6K3ZmfcewWDp6,Mistaken (feat. Alex Aris),Mistaken (feat. Alex Aris),single,2019-03-31,48,0.424,0.694,6,-4.912,0.000937,0.133,0.0573,128.034,0,0.0801,282481,4
296,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,5YN0zHycJ0Yxz31A5QsVov,These Are The Times (feat. JRM),These Are The Times (feat. JRM),single,2019-07-18,49,0.687,0.707,4,-6.19,9.29e-05,0.16,0.0536,127.033,1,0.607,188656,4
297,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,56ZstVdH2J5FXTTOKNNxfp,Funk,Sentio,album,2022-04-29,44,0.757,0.623,1,-4.335,0.857,0.112,0.00655,125.017,0,0.24,189600,4
298,76YIoWHp3Ri3q1ocOPtFzp,AREA21,5sPoju3oZHg9Wq5KXxBH3a,Followers,Followers,single,2021-09-17,57,0.557,0.798,11,-4.162,3.59e-05,0.295,0.163,144.969,1,0.347,177207,4
299,60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,5vbFDDuHmTqHR8tGxiipf2,Good Morning,Good Morning,single,2022-04-12,44,0.572,0.728,6,-6.851,0.0246,0.515,0.000992,126.059,0,0.18,181429,4
300,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,Closer,Closer,single,2016-07-29,81,0.748,0.524,8,-5.599,0.0,0.111,0.414,95.01,1,0.661,244960,4
